Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,NSLP Provision 2 or 3 School ,Charter School Number,Charter Funding Type,Low Grade,High Grade,Enrollment (K-12),Unadjusted Free Meal Count (K-12),Adjusted Free Meal Count (K-12),Adjusted Percent (%) Eligible Free (K-12),Unadjusted FRPM Count (K-12),Adjusted FRPM Count (K-12),Adjusted Percent (%) Eligible FRPM (K-12),Enrollment (Ages 5-17),Unadjusted Free Meal Count (Ages 5-17),Adjusted Free Meal Count (Ages 5-17),Adjusted Percent (%) Eligible Free (Ages 5-17),Unadjusted FRPM Count (Ages 5-17),Adjusted FRPM Count (Ages 5-17),Adjusted Percent (%) Eligible FRPM (Ages 5-17),2013-14 CALPADS Fall 1 Certification Status
2013-14,1,61119,119222,Alameda,Alameda Unified,Nea Community Learning Center,N,1066,Directly funded,K,12,510,130,131,25.7%,154,155,30.4%,502,124,125,24.9%,148,149,29.7%,Y
2013-14,1,61119,122085,Alameda,Alameda Unified,The Academy of Alameda,N,1181,Directly funded,6,8,481,211,212,44.1%,243,244,50.7%,481,211,212,44.1%,243,244,50.7%,Y
2013-14,1,61119,126656,Alameda,Alameda Unified,Maya Lin,N,,,K,8,325,137,137,42.2%,152,152,46.8%,305,133,133,43.6%,148,148,48.5%,Y
2013-14,1,61119,128199,Alameda,Alameda Unified,Encinal Junior Jets,N,,,6,8,184,97,97,52.7%,115,115,62.5%,184,97,97,52.7%,115,115,62.5%,Y
2013-14,1,61119,130229,Alameda,Alameda Unified,Alameda High,N,,,9,12,1787,353,358,20.0%,403,408,22.8%,1718,334,339,19.7%,381,386,22.5%,Y
2013-14,1,61119,130609,Alameda,Alameda Unified,Alameda Community Learning Center,N,352,Directly funded,6,12,332,69,70,21.1%,77,78,23.5%,330,69,70,21.2%,77,78,23.6%,Y
2013-14,1,61119,130625,Alameda,Alameda Unified,Bay Area School of Enterprise,N,398,Directly funded,9,12,140,112,114,81.4%,128,130,92.9%,125,101,102,81.6%,117,118,94.4%,Y
2013-14,1,61119,132878,Alameda,Alameda Unified,Encinal High,N,,,9,12,1038,423,427,41.1%,467,471,45.4%,996,405,408,41.0%,448,451,45.3%,Y
2013-14,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),N,,,9,12,172,88,89,51.7%,93,94,54.7%,108,49,49,45.4%,54,54,50.0%,Y
2013-14,1,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,N,,,K,5,509,146,147,28.9%,168,169,33.2%,508,146,147,28.9%,168,169,33.3%,Y
2013-14,1,61119,6090013,Alameda,Alameda Unified,Edison Elementary,N,,,K,5,484,56,56,11.6%,62,62,12.8%,484,56,56,11.6%,62,62,12.8%,Y
2013-14,1,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,N,,,K,5,565,85,85,15.0%,104,104,18.4%,565,85,85,15.0%,104,104,18.4%,Y
2013-14,1,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,N,,,K,5,311,53,53,17.0%,60,60,19.3%,311,53,53,17.0%,60,60,19.3%,Y
2013-14,1,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,N,,,K,5,438,220,220,50.2%,244,244,55.7%,415,212,212,51.1%,236,236,56.9%,Y
2013-14,1,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,N,,,6,8,956,142,144,15.1%,181,183,19.1%,956,142,144,15.1%,181,183,19.1%,Y
2013-14,1,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,N,,,6,8,429,221,221,51.5%,248,248,57.8%,429,221,221,51.5%,248,248,57.8%,Y
2013-14,1,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,N,,,K,5,329,137,139,42.2%,157,157,47.7%,311,132,134,43.1%,150,150,48.2%,Y
2013-14,1,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,N,,,K,5,618,50,50,8.1%,58,58,9.4%,595,50,50,8.4%,58,58,9.7%,Y
2013-14,1,61119,6110779,Alameda,Alameda Unified,Bay Farm,N,,,K,7,561,26,28,5.0%,37,39,7.0%,561,26,28,5.0%,37,39,7.0%,Y
2013-14,1,61127,1,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",N,,,,,2,0,0,0.0%,0,0,0.0%,2,0,0,0.0%,0,0,0.0%,Y
2013-14,1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),N,,,10,12,17,4,5,29.4%,4,5,29.4%,16,4,4,25.0%,4,4,25.0%,Y
2013-14,1,61127,130450,Alameda,Albany City Unified,Albany High,N,,,9,12,1182,191,193,16.3%,246,248,21.0%,1155,187,189,16.4%,242,244,21.1%,Y
2013-14,1,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,N,,,K,5,587,56,56,9.5%,75,75,12.8%,587,56,56,9.5%,75,75,12.8%,Y
2013-14,1,61127,6090161,Alameda,Albany City Unified,Albany Middle,N,,,6,8,867,167,169,19.5%,207,209,24.1%,867,167,169,19.5%,207,209,24.1%,Y
2013-14,1,61127,6095376,Alameda,Albany City Unified,Marin Elementary,N,,,K,5,538,49,49,9.1%,63,63,11.7%,538,49,49,9.1%,63,63,11.7%,Y
2013-14,1,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,N,,,K,5,646,165,170,26.3%,197,201,31.1%,626,162,166,26.5%,192,195,31.2%,Y
2013-14,1,61143,1,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",N,,,,,34,10,10,29.4%,10,10,29.4%,31,9,9,29.0%,9,9,29.0%,Y
2013-14,1,61143,122689,Alameda,Berkeley Unified,REALM Charter Middle,N,1254,Directly funded,6,8,314,171,172,54.8%,219,219,69.7%,314,171,172,54.8%,219,219,69.7%,Y
2013-14,1,61143,122697,Alameda,Berkeley Unified,REALM Charter High,N,1255,Directly funded,9,12,287,175,176,61.3%,213,214,74.6%,286,174,175,61.2%,212,213,74.5%,Y
2013-14,1,61143,131177,Alameda,Berkeley Unified,Berkeley High,N,,,9,12,3145,872,874,27.8%,1014,1015,32.3%,3061,835,837,27.3%,975,976,31.9%,Y
2013-14,1,61143,134924,Alameda,Berkeley Unified,Berkeley Technology Academy,N,,,10,12,102,65,65,63.7%,73,73,71.6%,90,58,58,64.4%,65,65,72.2%,Y
2013-14,1,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,N,,,6,8,915,297,299,32.7%,376,376,41.1%,915,297,299,32.7%,376,376,41.1%,Y
2013-14,1,61143,6056865,Alameda,Berkeley Unified,Willard Middle,N,,,6,8,511,225,226,44.2%,260,261,51.1%,511,225,226,44.2%,260,261,51.1%,Y
2013-14,1,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science Magnet,N,,,K,5,482,156,156,32.4%,179,179,37.1%,461,150,150,32.5%,171,171,37.1%,Y
2013-14,1,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,N,,,K,5,421,133,133,31.6%,160,160,38.0%,421,133,133,31.6%,160,160,38.0%,Y
2013-14,1,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,N,,,K,5,297,107,108,36.4%,124,124,41.8%,297,107,108,36.4%,124,124,41.8%,Y
2013-14,1,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,N,,,K,5,338,103,103,30.5%,119,119,35.2%,338,103,103,30.5%,119,119,35.2%,Y
2013-14,1,61143,6090278,Alameda,Berkeley Unified,Leconte Elementary,N,,,K,5,344,158,159,46.2%,188,189,54.9%,344,158,159,46.2%,188,189,54.9%,Y
2013-14,1,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,N,,,K,5,527,165,165,31.3%,192,192,36.4%,527,165,165,31.3%,192,192,36.4%,Y
2013-14,1,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,N,,,6,8,500,224,224,44.8%,263,263,52.6%,500,224,224,44.8%,263,263,52.6%,Y
2013-14,1,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,N,,,K,5,318,97,98,30.8%,128,129,40.6%,318,97,98,30.8%,128,129,40.6%,Y
2013-14,1,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,N,,,K,5,472,178,178,37.7%,205,205,43.4%,472,178,178,37.7%,205,205,43.4%,Y
2013-14,1,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,N,,,K,5,471,115,115,24.4%,137,137,29.1%,450,109,109,24.2%,130,130,28.9%,Y
2013-14,1,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,N,,,K,5,421,138,138,32.8%,176,176,41.8%,401,130,130,32.4%,166,166,41.4%,Y
2013-14,1,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,N,,,K,5,282,138,138,48.9%,155,155,55.0%,262,123,123,46.9%,140,140,53.4%,Y
2013-14,1,61150,1,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",N,,,,,18,3,3,16.7%,3,3,16.7%,14,3,3,21.4%,3,3,21.4%,Y
2013-14,1,61150,130047,Alameda,Castro Valley Unified,Roy A. Johnson High,N,,,9,12,15,3,3,20.0%,3,3,20.0%,0,0,0,0.0%,0,0,0.0%,Y
2013-14,1,61150,132225,Alameda,Castro Valley Unified,Castro Valley High,N,,,9,12,3000,472,475,15.8%,619,622,20.7%,2917,453,456,15.6%,596,599,20.5%,Y
2013-14,1,61150,135533,Alameda,Castro Valley Unified,Redwood Continuation High,N,,,9,12,124,40,41,33.1%,45,46,37.1%,110,35,36,32.7%,40,41,37.3%,Y
2013-14,1,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,N,,,K,5,490,138,139,28.4%,178,179,36.5%,456,135,136,29.8%,172,173,37.9%,Y
2013-14,1,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,N,,,K,5,449,55,55,12.2%,79,79,17.6%,449,55,55,12.2%,79,79,17.6%,Y
2013-14,1,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,N,,,6,8,785,96,98,12.5%,157,159,20.3%,785,96,98,12.5%,157,159,20.3%,Y
2013-14,1,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,N,,,K,5,626,48,48,7.7%,58,58,9.3%,590,46,46,7.8%,55,55,9.3%,Y
2013-14,1,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,N,,,K,5,461,130,130,28.2%,169,169,36.7%,461,130,130,28.2%,169,169,36.7%,Y
2013-14,1,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,N,,,K,5,151,10,10,6.6%,18,18,11.9%,151,10,10,6.6%,18,18,11.9%,Y
2013-14,1,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,N,,,K,5,533,65,69,12.9%,78,82,15.4%,533,65,69,12.9%,78,82,15.4%,Y
2013-14,1,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,N,,,K,5,445,114,117,26.3%,150,150,33.7%,445,114,117,26.3%,150,150,33.7%,Y
2013-14,1,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,N,,,K,5,414,29,29,7.0%,41,41,9.9%,414,29,29,7.0%,41,41,9.9%,Y
2013-14,1,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,N,,,6,8,1357,262,262,19.3%,348,348,25.6%,1357,262,262,19.3%,348,348,25.6%,Y
2013-14,1,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,N,,,K,5,449,9,9,2.0%,12,12,2.7%,449,9,9,2.0%,12,12,2.7%,Y
2013-14,1,61168,1,Alameda,Emery Unified,"Nonpublic, Nonsectarian Schools",N,,,,,1,0,0,0.0%,0,0,0.0%,1,0,0,0.0%,0,0,0.0%,Y
2013-14,1,61168,132746,Alameda,Emery Unified,Emery Secondary,N,,,9,12,219,108,112,51.1%,114,118,53.9%,211,105,109,51.7%,110,114,54.0%,Y
2013-14,1,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,N,,,K,8,506,302,313,61.9%,314,324,64.0%,504,301,312,61.9%,313,323,64.1%,Y
2013-14,1,61176,1,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",N,,,,,63,12,12,19.0%,12,12,19.0%,47,12,12,25.5%,12,12,25.5%,Y
2013-14,1,61176,127233,Alameda,Fremont Unified,Young Adult Program,N,,,9,12,19,1,1,5.3%,1,1,5.3%,0,0,0,0.0%,0,0,0.0%,Y
2013-14,1,61176,128298,Alameda,Fremont Unified,Glankler Early Learning Center,N,,,P,K,1,0,0,0.0%,0,0,0.0%,1,0,0,0.0%,0,0,0.0%,Y
2013-14,1,61176,130062,Alameda,Fremont Unified,American High,N,,,9,12,1960,333,334,17.0%,400,401,20.5%,1911,314,315,16.5%,379,380,19.9%,Y
2013-14,1,61176,130138,Alameda,Fremont Unified,Robertson High (Continuation),N,,,9,12,216,90,90,41.7%,97,97,44.9%,171,75,75,43.9%,81,81,47.4%,Y
2013-14,1,61176,130435,Alameda,Fremont Unified,Vista Alternative,N,,,7,12,67,7,8,11.9%,9,10,14.9%,61,6,7,11.5%,8,9,14.8%,Y
2013-14,1,61176,130534,Alameda,Fremont Unified,Circle of Independent Learning,N,152,Locally funded,K,12,226,20,20,8.8%,22,22,9.7%,218,20,20,9.2%,22,22,10.1%,Y
2013-14,1,61176,134270,Alameda,Fremont Unified,Irvington High,N,,,9,12,2179,236,240,11.0%,311,315,14.5%,2134,228,232,10.9%,299,303,14.2%,Y
2013-14,1,61176,134452,Alameda,Fremont Unified,John F. Kennedy High,N,,,9,12,1410,375,377,26.7%,468,470,33.3%,1354,362,364,26.9%,454,456,33.7%,Y
2013-14,1,61176,135244,Alameda,Fremont Unified,Mission San Jose High,N,,,9,12,2167,61,62,2.9%,71,72,3.3%,2153,58,59,2.7%,68,69,3.2%,Y
2013-14,1,61176,138693,Alameda,Fremont Unified,Washington High,N,,,9,12,1835,327,333,18.1%,390,395,21.5%,1781,319,325,18.2%,381,386,21.7%,Y
2013-14,1,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,N,,,K,6,468,155,156,33.3%,202,203,43.4%,467,155,156,33.4%,202,203,43.5%,Y
2013-14,1,61176,6000558,Alameda,Fremont Unified,Brier Elementary,N,,,K,6,710,262,267,37.6%,313,317,44.6%,710,262,267,37.6%,313,317,44.6%,Y
2013-14,1,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,N,,,K,6,440,223,224,50.9%,253,253,57.5%,440,223,224,50.9%,253,253,57.5%,Y
2013-14,1,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,N,,,K,6,385,194,196,50.9%,229,231,60.0%,385,194,196,50.9%,229,231,60.0%,Y
2013-14,1,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,N,,,K,6,646,182,183,28.3%,210,211,32.7%,645,181,182,28.2%,209,210,32.6%,Y
2013-14,1,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,N,,,K,6,449,92,95,21.2%,120,123,27.4%,449,92,95,21.2%,120,123,27.4%,Y
2013-14,1,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,N,,,K,6,453,128,128,28.3%,178,178,39.3%,411,119,119,29.0%,166,166,40.4%,Y
2013-14,1,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,N,,,K,3,873,19,19,2.2%,26,26,3.0%,872,19,19,2.2%,26,26,3.0%,Y
2013-14,1,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,N,,,K,6,583,133,135,23.2%,162,164,28.1%,583,133,135,23.2%,162,164,28.1%,Y
2013-14,1,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,N,,,K,6,604,159,163,27.0%,173,177,29.3%,577,151,155,26.9%,163,167,28.9%,Y
2013-14,1,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,N,,,K,6,611,66,67,11.0%,80,80,13.1%,611,66,67,11.0%,80,80,13.1%,Y
2013-14,1,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,N,,,K,6,670,29,29,4.3%,31,31,4.6%,670,29,29,4.3%,31,31,4.6%,Y
2013-14,1,61176,6000756,Alameda,Fremont Unified,Niles Elementary,N,,,K,6,594,34,34,5.7%,42,42,7.1%,594,34,34,5.7%,42,42,7.1%,Y
2013-14,1,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,N,,,K,6,539,103,104,19.3%,123,124,23.0%,537,103,104,19.4%,122,123,22.9%,Y
2013-14,1,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,N,,,K,6,923,63,64,6.9%,88,89,9.6%,876,62,63,7.2%,87,88,10.0%,Y
2013-14,1,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,N,,,K,6,644,153,159,24.7%,188,194,30.1%,644,153,159,24.7%,188,194,30.1%,Y
2013-14,1,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,N,,,K,6,537,124,127,23.6%,142,145,27.0%,537,124,127,23.6%,142,145,27.0%,Y
2013-14,1,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,N,,,3,6,994,29,29,2.9%,43,43,4.3%,994,29,29,2.9%,43,43,4.3%,Y
2013-14,1,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,N,,,7,8,944,216,217,23.0%,253,254,26.9%,944,216,217,23.0%,253,254,26.9%,Y
2013-14,1,61176,6056881,Alameda,Fremont Unified,G. M. Walters Junior High,N,,,7,8,774,245,247,31.9%,294,296,38.2%,774,245,247,31.9%,294,296,38.2%,Y
2013-14,1,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,N,,,7,8,1082,127,127,11.7%,159,159,14.7%,1082,127,127,11.7%,159,159,14.7%,Y
2013-14,1,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,N,,,7,8,1076,175,176,16.4%,218,219,20.4%,1076,175,176,16.4%,218,219,20.4%,Y
2013-14,1,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High,N,,,7,8,1037,24,24,2.3%,29,29,2.8%,1037,24,24,2.3%,29,29,2.8%,Y
2013-14,1,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,N,,,K,6,809,25,25,3.1%,26,26,3.2%,767,25,25,3.3%,26,26,3.4%,Y
2013-14,1,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,N,,,K,6,574,66,67,11.7%,74,75,13.1%,518,61,61,11.8%,69,69,13.3%,Y
2013-14,1,61176,6089619,Alameda,Fremont Unified,Warwick Elementary,N,,,K,6,859,140,143,16.6%,169,172,20.0%,859,140,143,16.6%,169,172,20.0%,Y
2013-14,1,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,N,,,K,6,817,30,31,3.8%,40,41,5.0%,817,30,31,3.8%,40,41,5.0%,Y
2013-14,1,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,N,,,K,6,611,7,8,1.3%,7,8,1.3%,611,7,8,1.3%,7,8,1.3%,Y
2013-14,1,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,N,,,K,6,667,125,127,19.0%,151,153,22.9%,667,125,127,19.0%,151,153,22.9%,Y
2013-14,1,61176,6090559,Alameda,Fremont Unified,Steven Millard Elementary,N,,,K,6,594,112,118,19.9%,138,144,24.2%,591,110,116,19.6%,136,142,24.0%,Y
2013-14,1,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,N,,,K,6,944,54,57,6.0%,73,76,8.1%,919,54,57,6.2%,72,75,8.2%,Y
2013-14,1,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,N,,,K,6,836,32,33,3.9%,37,38,4.5%,794,30,30,3.8%,35,35,4.4%,Y
2013-14,1,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,N,,,K,6,997,29,30,3.0%,35,36,3.6%,997,29,30,3.0%,35,36,3.6%,Y
2013-14,1,61192,1,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",N,,,,,101,24,25,24.8%,26,27,26.7%,88,24,25,28.4%,26,27,30.7%,Y
2013-14,1,61192,108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,N,684,Directly funded,9,12,471,214,215,45.6%,300,300,63.7%,459,209,210,45.8%,294,294,64.1%,Y
2013-14,1,61192,111815,Alameda,Hayward Unified,Stonebrae Elementary,N,,,K,6,753,283,284,37.7%,320,321,42.6%,753,283,284,37.7%,320,321,42.6%,Y
2013-14,1,61192,113902,Alameda,Hayward Unified,Impact Academy of Arts & Technology,N,836,Directly funded,9,12,466,228,230,49.4%,302,304,65.2%,453,220,222,49.0%,293,295,65.1%,Y
2013-14,1,61192,119248,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,N,1067,Directly funded,1,8,197,18,18,9.1%,29,29,14.7%,197,18,18,9.1%,29,29,14.7%,Y
2013-14,1,61192,119842,Alameda,Hayward Unified,Special Education-Preschool-Laurel,N,,,P,P,1,0,0,0.0%,0,0,0.0%,0,0,0,0.0%,0,0,0.0%,Y
2013-14,1,61192,127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,N,1514,Directly funded,K,8,132,46,47,35.6%,99,100,75.8%,125,46,47,37.6%,98,99,79.2%,Y
2013-14,1,61192,127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,N,1543,Directly funded,9,12,60,18,19,31.7%,21,21,35.0%,60,18,19,31.7%,21,21,35.0%,Y
2013-14,1,61192,133009,Alameda,Hayward Unified,Brenkwitz High,N,,,9,12,234,125,129,55.1%,131,135,57.7%,190,103,105,55.3%,109,111,58.4%,Y
2013-14,1,61192,133629,Alameda,Hayward Unified,Hayward High,N,,,9,12,1638,967,972,59.3%,1104,1109,67.7%,1584,933,938,59.2%,1070,1075,67.9%,Y
2013-14,1,61192,135319,Alameda,Hayward Unified,Mt. Eden High,N,,,9,12,1865,988,990,53.1%,1187,1189,63.8%,1817,957,958,52.7%,1150,1151,63.3%,Y
2013-14,1,61192,138339,Alameda,Hayward Unified,Tennyson High,N,,,9,12,1339,911,916,68.4%,1007,1012,75.6%,1278,864,869,68.0%,956,961,75.2%,Y
2013-14,1,61192,6000889,Alameda,Hayward Unified,Bowman Elementary,N,,,K,6,486,328,331,68.1%,377,379,78.0%,486,328,331,68.1%,377,379,78.0%,Y
2013-14,1,61192,6000905,Alameda,Hayward Unified,Burbank Elementary,Y,,,K,6,766,553,557,72.7%,628,629,82.1%,766,553,557,72.7%,628,629,82.1%,Y
2013-14,1,61192,6000913,Alameda,Hayward Unified,Cherryland Elementary,Y,,,K,6,765,530,532,69.5%,605,607,79.3%,745,516,518,69.5%,589,591,79.3%,Y
2013-14,1,61192,6000921,Alameda,Hayward Unified,East Avenue Elementary,N,,,K,6,594,293,293,49.3%,329,329,55.4%,594,293,293,49.3%,329,329,55.4%,Y
2013-14,1,61192,6000947,Alameda,Hayward Unified,Eldridge Elementary,N,,,K,6,528,353,353,66.9%,416,416,78.8%,528,353,353,66.9%,416,416,78.8%,Y
2013-14,1,61192,6000962,Alameda,Hayward Unified,Fairview Elementary,N,,,K,6,547,347,347,63.4%,390,390,71.3%,521,342,342,65.6%,383,383,73.5%,Y
2013-14,1,61192,6000988,Alameda,Hayward Unified,Glassbrook Elementary,Y,,,K,6,529,371,371,70.1%,402,402,76.0%,505,364,364,72.1%,393,393,77.8%,Y
2013-14,1,61192,6000996,Alameda,Hayward Unified,Harder Elementary,Y,,,K,6,623,458,461,74.0%,508,511,82.0%,623,458,461,74.0%,508,511,82.0%,Y
2013-14,1,61192,6001044,Alameda,Hayward Unified,Longwood Elementary,Y,,,K,6,680,514,518,76.2%,565,567,83.4%,668,506,510,76.3%,556,558,83.5%,Y
2013-14,1,61192,6001051,Alameda,Hayward Unified,Lorin A. Eden Elementary,N,,,K,6,469,222,222,47.3%,261,261,55.7%,469,222,222,47.3%,261,261,55.7%,Y
2013-14,1,61192,6001093,Alameda,Hayward Unified,Palma Ceia Elementary,N,,,K,6,566,360,361,63.8%,430,431,76.1%,566,360,361,63.8%,430,431,76.1%,Y
2013-14,1,61192,6001101,Alameda,Hayward Unified,Park Elementary,N,,,K,6,629,451,456,72.5%,489,490,77.9%,629,451,456,72.5%,489,490,77.9%,Y
